tid,chinese,english,japanese
Invention No.2,二部创意曲No.2,Invention No.2,インベンション 第2番
Hands Across The Sea,越海之谊进行曲,Hands Across The Sea,海を越える握手
Album Leaf,纪念册的第一页,Album Leaf,『アルバムのページ』作品7
Moment Musical Op.94 No.4,音乐瞬间Op.94 No.4,Moment Musical Op.94 No.4,楽興の時 Op.94-4
Romanian Folk Dances No.6,碎步舞曲,Romanian Folk Dances No.6,ルーマニア民俗舞曲 第6番
Prelude Op.12 No.7,前奏曲Op.12 No.7,Prelude Op.12 No.7,練習曲 Op.12-7
3 Ecossaises Op.72 No.3,苏格兰舞曲Op.72 No.3,3 Ecossaises Op.72 No.3,3つのエコセーズ Op.72-3
Searchlight Rag,探照灯拉格,Searchlight Rag,サーチライト・ラグ
Bach Piano Concerto No.1,巴赫第一钢琴协奏曲,Bach Piano Concerto No.1,バッハ ピアノ協奏曲 第1番
Walzer,圆舞曲,Walzer,ワルツ
Lively Spring Festival,闹春,Lively Spring Festival,ライブリー・スプリング・フェスティバル
Etude Op.740 No.31,练习曲 Op.740 No.31,Etude Op.740 No.31,練習曲 Op.740-31
Market,集市,Market,マーケット
Melody,旋律,Melody,メロディ
Etude Op.37 No.29,练习曲 Op.37 No.29,Etude Op.37 No.29,練習曲 Op.37-29
Carol of the Bells,钟声响,Carol of the Bells,キャロル・オブ・ザ・ベル
The Hebrides Overture,小鸟啼鸣,The Hebrides Overture,フィンガルの洞窟
Heather Rose,杂色玫瑰,Heather Rose,荒野のばら
"Home, Sweet home",可爱的家,"Home, Sweet home",埴生の宿
Mazurka Op.39 No.11,玛祖卡 Op.39 No.11,Mazurka Op.39 No.11,マズルカ Op.39-11
Palm Leaf Rag,棕榈叶拉格,Palm Leaf Rag,パーム・リーフ・ラグ
Troika E Major,在十一月的马车上,Troika E Major,トロイカ ホ長調
Old Folks at Home,故乡的亲人,Old Folks at Home,故郷の人々
Hunting Song,猎歌,Hunting Song,ハンティング・ソング
Fall,落,Fall,フォール
Romance,浪漫曲,Romance,ロマンス
Soldaten Marsch,士兵进行曲,Soldaten Marsch,兵隊の行進曲
Non Piu Andrai,你再不要去做情郎,Non Piu Andrai,もう飛ぶまいぞこの蝶々
"Long, Long Ago",多年以前,"Long, Long Ago",久しき昔
Rondo A Major,A大调回旋曲,Rondo A Major,ロンド イ長調
March from Norma,诺尔玛大进行曲,March from Norma,ノルマの行進曲
The music box,八音盒,The music box,ミュージックボックス
Barcarolle d'Hoffmann,霍夫曼船歌,Barcarolle d'Hoffmann,ホフマンの舟歌
Restless Galop,不停息的加洛普舞曲 ,Restless Galop,レストレス・ギャロップ
Prelude in g minor BWV930,g小调小前奏曲 ,Prelude in g minor BWV930,練習曲 ト短調 BWV930
Elite Syncopations,精彩的切分音,Elite Syncopations,エリート・シンコペーションズ
Andante from Orfeo ed Euridice,行板,Andante from Orfeo ed Euridice,オルフェオとエウリディーチェ
Magnetic Rag,吸引力拉格泰姆,Magnetic Rag,マグネティック・ラグ
Starlight Waltz,星光圆舞曲,Starlight Waltz,星影のワルツ
Les Sylphes,精灵,Les Sylphes,空気の精
Va pensiero,囚徒合唱,Va pensiero,ナブッコ
Wiener March,维也纳进行曲,Wiener March,ウィーン行進曲
Emperor Waltz Op.437,皇帝圆舞曲,Emperor Waltz Op.437,皇帝円舞曲 Op.437
Rondo allegretto Op.168 No.1,回旋曲 Op.168 No.1,Rondo allegretto Op.168 No.1,ロンド・アレグレット Op.168-1
Andante from Concerto No.21,第二十一协奏曲 行板,Andante from Concerto No.21,ピアノ協奏曲第21番
Alles fuhlt der Liebe Freuden,所有生物都感受到爱的狂喜,Alles fuhlt der Liebe Freuden,魔笛
Rondo in C Major Op.51 No.1,C大调回旋曲 Op.51 No.1,Rondo in C Major Op.51 No.1,ロンド ハ長調 Op.51-1
Rondo alla Turca Op.68 No.3,土耳其风格回旋曲,Rondo alla Turca Op.68 No.3,トルコ風ロンド Op.68-3
Etude Op.849 No.6,练习曲 Op.849 No.6,Etude Op.849 No.6,Etude Op.849 No.6
Etude Op.849 No.21,练习曲 Op.849 No.21,Etude Op.849 No.21,Etude Op.849 No.21
Etude Op.740 No.19,练习曲 Op.740 No.19,Etude Op.740 No.19,Etude Op.740 No.19
Etude Op.740 No.42,练习曲 Op.740 No.42,Etude Op.740 No.42,Etude Op.740 No.42
Etude Op.299 No.11,练习曲 Op.299 No.11,Etude Op.299 No.11,Etude Op.299 No.11
Kitten Cleo,猫咪克莱奥,Kitten Cleo,Kitten Cleo
Johnny Has Gone for a Soldier,强尼从军去,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier
The Whisper Of West Wind,西风的话,The Whisper Of West Wind,The Whisper Of West Wind
Moon In Breezy Night,月夜海风,Moon In Breezy Night,Moon In Breezy Night
Sonata for Two Pianos K448,双钢琴奏鸣曲 K448,Sonata for Two Pianos K448,Sonata for Two Pianos K448
Old MacDonald Had a Farm,老麦克唐纳有个农场,Old MacDonald Had a Farm,Old MacDonald Had a Farm
Colourful Clouds Chasing The Moon,彩云追月,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon
The More We Get Together,我们同在一起,The More We Get Together,The More We Get Together
Spirits Of The Wetlands,湿地小精灵 ,Spirits Of The Wetlands,Spirits Of The Wetlands
Bella Figlia Dell'Amore,美丽的爱之女,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore
El Reencuentro,重逢,El Reencuentro,El Reencuentro
Clair de Lune,月光曲,Clair de Lune,Clair de Lune
Csardas,查尔达斯,Csardas,Csardas
Dance of the Little Swans,四小天鹅,Dance of the Little Swans,Dance of the Little Swans
Ten Little Indians,十个小印第安人,Ten Little Indians,Ten Little Indians
Spinner,纺织姑娘,Spinner,Spinner
Birds Worship Phoenix,百鸟朝凤,Birds Worship Phoenix,Birds Worship Phoenix
Bella Ciao,啊朋友再见,Bella Ciao,Bella Ciao
Two Minute Rhapsody,两分钟狂想曲,Two Minute Rhapsody,Two Minute Rhapsody
Prisoners Dream,夜囚梦醒,Prisoners Dream,Prisoners Dream
London Bridge Is Falling Down,伦敦铁桥垮下来,London Bridge Is Falling Down,London Bridge Is Falling Down
Old Black Joe,老黑奴,Old Black Joe,Old Black Joe
Little Red Riding Hood,小红帽,Little Red Riding Hood,Little Red Riding Hood
Polonaise Op.40 No.1,波兰军队舞曲 Op.40 No.1,Polonaise Op.40 No.1,Polonaise Op.40 Nr.1
Drei Intermezzi,降E大调间奏曲,Drei Intermezzi,Drei Intermezzi
Tiger's Family,老虎一家人,Tiger's Family,Tiger's Family
Longing for Spring K596,渴望春天,Longing for Spring K596,Longing for Spring K596
The Holy City,圣城颂,The Holy City,The Holy City
The day of resurrection,荣耀复活日,The day of resurrection,The day of resurrection
Jesus Christ is risen today,基督复生歌,Jesus Christ is risen today,Jesus Christ is risen today
Thine is the Glory,你是荣耀主,Thine is the Glory,Thine is the Glory
When He cometh,等主回来,When He cometh,When He cometh
Thanks to god,感谢神,Thanks to God,Thanks to God
Singing I go,生命路上 ,Singing I go,Singing I go
Country Dances,乡村舞曲,Country Dances,Country Dances
La Styrienne,斯提利亚人,La Styrienne,La Styrienne
Cantata No.147,康塔塔 No.147,Cantata No.147,Cantata No.147
Waltz Op.39 No.15,圆舞曲 Op.39 No.15,Waltz Op.39 No.15,Waltz Op.39 No.15
Sonata K570 Mvt.3,奏鸣曲 K570 第三章,Sonata K570 Mvt.3,Sonata K570 Mvt.3
The Wayside Rose,路旁的玫瑰,The Wayside Rose,The Wayside Rose
Minuet,小步舞曲,Minuet,Minuet
The Last Rose of Summer,夏天最后一朵玫瑰,The Last Rose of Summer,The Last Rose of Summer
Sonata in B-flat Major Mvt.1,降B大调奏鸣曲 第一章,Sonata in B-flat Major Mvt.1,Sonata in B-flat Major Mvt.1
Partita No.6,帕蒂塔 No.6,Partita No.6,Partita No.6
Hunter's Chorus,猎人合唱,Hunter's Chorus,Hunter's Chorus
Fur Elise,致爱丽丝,Fur Elise,Fur Elise
Canon ( Rock ),卡农 摇滚版,Canon ( Rock ),Canon ( Rock )
Turkish March,土耳其进行曲,Turkish March,Turkish March
Flight of the Bumblebee,野蜂飞舞,Flight of the Bumblebee,Flight of the Bumblebee
Yankee Doodle,扬基歌,Yankee Doodle,Yankee Doodle
Ode An Die Freude,欢乐颂,Ode An Die Freude,Ode An Die Freude
Auf Flugeln Des Gesanges,乘着歌声的翅膀,Auf Flugeln Des Gesanges,Auf Flugeln Des Gesanges
The Seasons Op.37,六月船歌,The Seasons Op.37,The Seasons Op.37
New World Symphony Mvt.4,自新大陆,New World Symphony Mvt.4,New World Symphony Mvt.4
Paganini Rhapsody Var.18,帕格尼尼主题狂想曲,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18
Nocturne Op.9 No.1,降b小调夜曲,Nocturne Op.9 No.1,Nocturne Op.9 No.1
Sonata Pathetique Mvt.3,悲怆奏鸣曲 第三章,Sonata Pathetique Mvt.3,Sonata Pathetique Mvt.3
Wedding March,婚礼进行曲,Wedding March,Wedding March
Oh! Susanna,哦，苏珊娜,Oh! Susanna,Oh! Susanna
Three Bears,三只小熊,Three Bears,Three Bears
Red River Valley,红河谷,Red River Valley,Red River Valley
The Planets - Jupiter,行星组曲 - 木星,The Planets - Jupiter,The Planets - Jupiter
Hungarian Rhapsody No.2,匈牙利狂想曲No.2,Hungarian Rhapsody No.2,Hungarian Rhapsody No.2
Etude Op.10 No.12,革命练习曲,Etude Op.10 No.12,Etude Op.10 No.12
Sonata in G Major K283,G大调奏鸣曲K283,Sonata in G Major K283,Sonata in G Major K283
Peer Gynt Suite Op.46-4,在山魔王的宫殿里,Peer Gynt Suite Op.46-4,Peer Gynt Suite Op.46-4
Papillon,蝴蝶,Papillon,Papillon
Serenade,小夜曲,Serenade,Serenade
Modlitwa Dziewicy,少女的祈祷,Modlitwa Dziewicy,Modlitwa Dziewicy
Red Berries in Blossom,红莓花儿开,Red Berries in Blossom,Red Berries in Blossom
Flower and Youth,花儿与少年,Flower and Youth,花と少年
Le Nozze di Figaro,费加罗的婚礼,Le Nozze di Figaro,Le Nozze di Figaro
Marche Militaire,军队进行曲,Marche Militaire,Marche Militaire
Green Sleeves,绿袖子,Green Sleeves,Green Sleeves
Minuet in G Major,G大调小步舞曲,Minuet in G Major,Minuet in G Major
The Yellow River in Anger,黄水谣,The Yellow River in Anger,The Yellow River in Anger
Polka Italienne,意大利波尔卡,Polka Italienne,Polka Italienne
Invitation to the Dance,邀舞,Invitation to the Dance,Invitation to the Dance
Etude Op.10 No.9,练习曲Op.10 No.9,Etude Op.10 No.9,Etude Op.10 No.9
Elegie Op.3 No.1,悲歌,Elegie Op.3 No.1,Elegie Op.3 No.1
Piano Concerto No.1,第一钢琴协奏曲,Piano Concerto No.1,Piano Concerto No.1
Siciliano,西西里舞曲,Siciliano,Siciliano
Sonata in D Major,D大调奏鸣曲,Sonata in D Major,Sonata in D Major
Etude Op.10 No.2,蚂蚁爬树 练习曲,Etude Op.10 No.2,Etude Op.10 No.2
Sonata in C Major K279,C大调奏鸣曲K279,Sonata in C Major K279,Sonata in C Major K279
Sonatina Op.36-1,小奏鸣曲Op.36-1,Sonatina Op.36-1,Sonatina Op.36 No.1
Symphony No.6 in F Major,田园交响曲,Symphony No.6 in F Major,Symphony No.6 in F Major
Sonata in C Major Mvt.2,C大调奏鸣曲 第二章,Sonata in C Major Mvt.2,Sonata in C Major Mvt.2
Sonatina in G Major,G大调小奏鸣曲,Sonatina in G Major,Sonatina in G Major
Wilde Jagd,狩猎,Wilde Jagd,Wilde Jagd
Sonatina,小奏鸣曲,Sonatina,Sonatina
Feux Follets,鬼火,Feux Follets,Feux Follets
Smatroll,山妖,Smatroll,Smatroll
Danse Macabre,死亡之舞,Danse Macabre,Danse Macabre
The Nutcracker Overture,胡桃夹子 序曲,The Nutcracker Overture,The Nutcracker Overture
Piano Sonata No.2,降b小调奏鸣曲,Piano Sonata No.2,Piano Sonata No.2
Don Juan Paraphrase Part.2,香槟之歌,Don Juan Paraphrase Part.2,Don Juan Paraphrase Part.2
Sonata No.25 Mvt.3,杜鹃奏鸣曲 第三章,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3
Espana Cani,西班牙斗牛舞曲,Espana Cani,Espana Cani
Sonatina Op.168 No.2,小奏鸣曲Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2
The Blue Danube,蓝色多瑙河,The Blue Danube,The Blue Danube
Bright Line,光明行,Bright Line,Bright Line
Auld Lang Syne,友谊地久天长,Auld Lang Syne,Auld Lang Syne
Oh My Beloved Father,我亲爱的爸爸,Oh My Beloved Father,Oh My Beloved Father
Etude Op.10 No.3,离别,Etude Op.10 No.3,Etude Op.10 No.3
La Traviata Excerpts,故乡的海水和土地,La Traviata Excerpts,La Traviata Excerpts
Defend the Yellow River,保卫黄河,Defend the Yellow River,Defend the Yellow River
Venetian Boat Song,威尼斯船歌,Venetian Boat Song,Venetian Boat Song
Troika,三套车,Troika,Troika
Habanera,哈巴涅拉舞曲,Habanera,Habanera
L'Arlesienne,阿莱城姑娘,L'Arlesienne,L'Arlesienne
Londonderry Air,伦敦德里小调,Londonderry Air,Londonderry Air
Vltava,沃尔塔瓦河,Vltava,Vltava
Valse Brillante Op.34 No.3,小猫圆舞曲,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3
Spinning Song,纺织歌,Spinning Song,Spinning Song
Dance of Reed,芦笛舞曲,Dance of Reed,Dance of Reed
Seguidilla,塞桂第拉舞曲,Seguidilla,Seguidilla
Tarantella,塔兰泰拉,Tarantella,Tarantella
Norwegian Dance Op.35 No.2,挪威舞曲Op.35 No.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2
Dreaming of Home and Mother,送别,Dreaming of Home and Mother,Dreaming of Home and Mother
Salut d' Amour,爱的礼赞,Salut d' Amour,Salut d' Amour
Torna a Surriento,重归苏莲托,Torna a Surriento,Torna a Surriento
Di Spagna sono la bella,西班牙女郎,Di Spagna sono la bella,Di Spagna sono la bella
Evening song of the Fisherman,渔舟唱晚,Evening song of the Fisherman,Evening song of the Fisherman
Etude Op.100 No.2,阿拉伯风格曲,Etude Op.100 No.2,Etude Op.100 No.2
Passacaglia,帕萨卡利亚,Passacaglia,Passacaglia
Song of selling newspapers,卖报歌,Song of selling newspapers,Song of selling newspapers
Russian Dance,俄罗斯舞曲,Russian Dance,Russian Dance
Lascia chio pianga,让我痛哭吧,Lascia chio pianga,Lascia chio pianga
Sonata in A Major Mvt.2,A大调奏鸣曲 第二章,Sonata in A Major Mvt.2,Sonata in A Major Mvt.2
Sakura Sakura,樱花,Sakura Sakura,Sakura Sakura
Silent Night,平安夜,Silent Night,Silent Night
We Wish You a Merry Christmas,我们祝你圣诞快乐,We Wish You a Merry Christmas,We Wish You a Merry Christmas
Jingle Bells Christmas Edition,铃儿响叮当圣诞版,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition
The Faithful Shepherd,忠实的牧羊人,The Faithful Shepherd,The Faithful Shepherd
Joy to the World,普世欢腾,Joy to the World,Joy to the World
Symphony No.8 in G Major Mvt.3,第八交响曲第三乐章,Symphony No.8 in G Major Mvt.3,Symphony No.8 in G Major Mvt.3
Dolly's Dreaming and Awakening,洋娃娃的梦,Dolly's Dreaming and Awakening,Dolly's Dreaming and Awakening
Amazing Grace,奇异恩典,Amazing Grace,Amazing Grace
Nel cor piu non mi sento,心中欢乐已经失去,Nel cor piu non mi sento,Nel cor piu non mi sento
Etincelles Etude Op.36 No.6,火花,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6
The Tuileries Gardens,杜伊勒里宫的花园,The Tuileries Gardens,The Tuileries Gardens
Graduation Song,毕业歌,Graduation Song,Graduation Song
Arirang,阿里郎,Arirang,Arirang
Au clair de la lune,在月光下,Au clair de la lune,Au clair de la lune
Romeo and Juliet,罗密欧与朱丽叶,Romeo and Juliet,Romeo and Juliet
O sole mio,我的太阳,O sole mio,O sole mio
The Ragtime Dance,时间的舞蹈,The Ragtime Dance,The Ragtime Dance
Minuet K.1,小步舞曲K.1,Minuet K.1,Minuet K.1
Etude Op.599 No.55,车尔尼Op.599 No.55,Etude Op.599 No.55,Etude Op.599 No.55
Maple Leaf Rag,枫叶拉格泰姆,Maple Leaf Rag,Maple Leaf Rag
Etude No.2,李斯特超级练习曲No.2,Etude No.2,Etude No.2
La Ronde de Lutins,精灵之舞,La Ronde de Lutins,La Ronde de Lutins
Horseman,骑士,Horseman,Horseman
Vals del Recuerdo,怀念的山谷,Vals del Recuerdo,Vals del Recuerdo
Prelude No.11 in B Major,B大调前奏曲,Prelude No.11 in B Major,Prelude No.11 in B Major
Tempest Sonata Mov.3,暴风雨第三乐章,Tempest Sonata Mov.3,Tempest Sonata Mov.3
Nutcracker Op.71,胡桃夹子进行曲,Nutcracker Op.71,Nutcracker Op.71
Little Star 12Var K265,小星星变奏曲,Little Star 12Var K265,Little Star 12Var K265
Peacherine Rag,美丽谎言,Peacherine Rag,Peacherine Rag
Piano Sonata No.4 Op.7,第四钢琴奏鸣曲Op.7,Piano Sonata No.4 Op.7,Piano Sonata No.4 Op.7
Magic Flute Op.9,魔笛主题变奏曲,Magic Flute Op.9,Magic Flute Op.9
Etude Op.299 No.6,车尔尼Op.299 No.6,Etude Op.299 No.6,Etude Op.299 No.6
The First Noel,第一个圣诞节,The First Noel,The First Noel
Magic Flute Trio,魔笛 三重奏,Magic Flute Trio,Magic Flute Trio
Scottish Dances,苏格兰舞,Scottish Dances,Scottish Dances
Peach Blossom,桃花湖,Peach Blossom,Peach Blossom
Hark! The Herald Angels Sing,新生王,Hark! The Herald Angels Sing,Hark! The Herald Angels Sing
Paganini Caprice No.9,帕格尼尼随想曲 No.9,Paganini Caprice No.9,Paganini Caprice No.9
Happy Chinese New Year,恭喜恭喜,Happy Chinese New Year,Happy Chinese New Year
Chinese New Year Theme,春节舞曲,Chinese New Year Theme,Chinese New Year Theme
Golden Snake Dance,金蛇狂舞,Golden Snake Dance,Golden Snake Dance
Swan Lake,天鹅湖 主题曲,Swan Lake,Swan Lake
Original Rags,原版拉格,Original Rags,Original Rags
Voices Of Spring Waltz,春之声圆舞曲,Voices Of Spring Waltz,Voices Of Spring Waltz
Forest Polka,森林波尔卡,Forest Polka,Forest Polka
Angels we have heard on high,荣耀歌,Angels we have heard on high,Angels we have heard on high
Brandenburg Concerto No.2,勃兰登堡协奏曲 No.2,Brandenburg Concerto No.2,Brandenburg Concerto No.2
Aurora,岸,Aurora,あかつき
I Do,I Do,I Do,I Do
Romance De Amor,爱的罗曼史,Romance De Amor,Romance De Amor
Waltz of the Flowers,花之圆舞曲,Waltz of the Flowers,Waltz of the Flowers
Deck the Halls,装饰大厅,Deck the Halls,Deck the Halls
Nostalgia,思乡,Nostalgia,Nostalgia
Aloha 'Oe,珍重再见,Aloha 'Oe,Aloha 'Oe
Song of harvest,丰收之歌,Song of harvest,Song of harvest
Schmetterling,蝴蝶,Schmetterling,Schmetterling
