key,English,Chinese,Japanese,Arabic
confirm_reset_ppoints,Reset P-Points? This cannot be undone.,重置P点数？此操作无法撤销。,ポイントをリセットしますか？元に戻せません。,إعادة ضبط نقاط P؟ لا يمكن التراجع
confirm_reset_class,Reset classification? This cannot be undone.,重置段位？此操作无法撤销。,段位をリセットしますか？元に戻せません。,إعادة ضبط التصنيف؟ لا يمكن التراجع
confirm_reset_all,Reset ALL local data? This cannot be undone.,重置所有本地数据？此操作无法撤销。,すべてのローカルデータをリセットしますか？元に戻せません。,إعادة ضبط جميع البيانات المحلية؟ لا يمكن التراجع
msg_goodbye,goodbye,再见,さようなら,مع السلامة
label_sound,Sound,声音,サウンド,الصوت
status_on,On,开启,オン,مفعّل
status_off,Off,关闭,オフ,معطّل
label_autoplay,Autoplay,自动播放,自動再生,اللعب التلقائي
label_change_backgrounds,Change Backgrounds,切换背景,背景切り替え,تغيير الخلفيات
label_dark_mode,Dark Mode,深色模式,ダークモード,الوضع الداكن
label_low_performance_mode,Low Performance Mode,低性能模式,低パフォーマンスモード,وضع الأداء المنخفض
msg_low_performance_mode_desc,Reduces visual effects for smoother play,减少视觉效果以获得更流畅的游戏体验,視覚効果を減らして、より滑らかにプレイできます,يقلل المؤثرات البصرية لتجربة أكثر سلاسة
label_credits,Credits,制作人员,クレジット,الشكر والتقدير
label_privacy_policy,Privacy Policy,隐私政策,プライバシーポリシー,سياسة الخصوصية
label_donate,Donate,捐赠,寄付,تبرع
label_revive_slowdown,Slow Revive,复活减速,復活時スローダウン,الإنعاش البطيء
default_player_name,Player,玩家,プレイヤー,لاعب
label_p_points,P-Points,P点数,Pポイント,نقاط P
aria_open_energy,Open energy supply,打开能量供应,エネルギー供給を開く,فتح الإمداد بالطاقة
aria_open_player_stats,Open player stats,打开玩家统计,プレイヤーステータスを開く,فتح إحصائيات اللاعب
alt_crown,Crown,皇冠,王冠,تاج 
alt_star,Star,星星,星,نجمة
title_game_over,GAME OVER,游戏结束,ゲームオーバー,إنتهت اللعبة
msg_better_luck,Better luck next time!,下次好运！,次は頑張ってください！,حظاّ أوفر في المرة القادمة!
label_final_score,Final Score,最终得分,最終スコア,النتيجة النهائية
btn_play_again,Play Again,再玩一次,もう一度プレイ,إلعب مرة أخرى
btn_bpm,BPM,BPM,BPM,الإيقاع
btn_load,Load,加载,読み込み,تحميل
msg_upload_custom_song,Upload Custom Song,上传自定义歌曲,カスタム曲をアップロード,ارفع أغنية مخصصة
msg_no_song_loaded,No song loaded,未加载歌曲,曲が読み込まれていません,لم يتم تحميل أي أغنية
msg_load_pt2_to_play,Load a PT2 JSON file to play a song.,加载 PT2 JSON 文件以播放歌曲。,曲を再生するには PT2 JSON ファイルを読み込んでください。,حمّل ملف JSON خاص بـ PT2 لتشغيل أغنية.
example_song_title,3. Nocturne Op. 55 No. 1,3. 夜曲Op.55 No.1,3. 夜想曲Op.55 No.1,3. نوكتورن، المصنف 55، رقم 1
msg_new_best,New Best!,新纪录！,新記録！,رقم قياسي جديد!
label_laps,Laps,圈数,周回数,تكرارات
btn_retry,Retry,重试,リトライ,إعادة المحاولة
title_game_paused,Game Paused,游戏暂停,ゲーム一時停止,توقفت اللعبة مؤقتاّ
btn_quit,Quit,退出,終了,أخرج
btn_resume,Continue,继续,再開,أكمل
placeholder_search,Type to search...,输入搜索...,検索...,أكتب للبحث...
msg_no_song_played,No song played yet,尚未播放歌曲,まだ曲を再生していません,لم يتم لعب أي أغنية بعد
btn_play,Play,播放,再生,إلعب
header_latest_changes,Latest changes:,最新更改:,最新の変更:,آخر التغييرات:
header_favourite_songs,Your favourite songs,您喜欢的歌曲,お気に入りの曲,أغانيك المفضلة
msg_no_favourites,No favourite songs yet. Tap the heart on any song to add it here!,还没有喜欢的歌曲。点击任何歌曲上的心形图标将其添加到这里！,お気に入りの曲がまだありません。曲のハートマークをタップしてここに追加してください！,لا توجد أغانٍ مفضلة بعد. اضغط على أيقونة القلب بجانب أي أغنية لإضافتها هنا!
header_700_plus_songs,Selection songs,精选歌曲,セレクション曲,أغاني مختارة
msg_no_700_plus_songs,No selection songs found.,未找到700+歌曲。,700+曲が見つかりません。,لا توجد أي أغاني مختارة.
msg_more_songs_expected,More songs to be expected...,更多歌曲敬请期待...,さらに曲が予定されています...,من المتوقع صدور المزيد من الأغاني...
aria_close_energy,Close energy supply,关闭能量供应,エネルギー供給を閉じる,أغلق إمداد الطاقة
title_energy_supply,Energy Supply,能量供应,エネルギー供給,الإمداد بالطاقة
label_time_to_next_life,Time to next life: 03:18,下一生命时间: 03:18,次のライフまでの時間: 03:18,الوقت المتبقي للحياة التالية: 03:18
label_free,Free,免费,無料,مجاناّ
label_free_upper,FREE,免费,無料,مجاناّ
btn_end_run,Give Up,结束运行,ランンを終了,إستسلم
btn_revive,Revive,复活,復活,إنعاش
nav_home,Home,主页,ホーム,الرئيسية
nav_music,Music,音乐,音楽,الأغاني
nav_challenges,Challenges,挑战,チャレンジ,التحديات
nav_class,Class,段位,クラス,الفئات
nav_settings,Settings,设置,設定,الإعدادات
label_custom_song,Custom Song,自定义歌曲,カスタムソング,أغنية مخصصة
label_custom_start_speed,Custom Start Speed,自定义起始速度,カスタム開始速度,سرعة بداية مخصصة
status_no_custom_song,No custom song loaded.,未加载自定义歌曲,カスタムソングが読み込まれていません,لم يتم تحميل أغنية مخصصة
label_player_stats,Player Stats,玩家统计,プレイヤーステータス,إخصاءات اللاعب
label_best_play,Best Result,最佳表现,ベストプレイ,أفضل نتيجة
label_challenge_best,Best Challenge Result,挑战最佳,チャレンジベスト,أفضل نتيجة للتحدي
label_disabled,Disabled,禁用,無効,معطّل
label_tiles_per_sec,TPS,TPS,TPS,TPS
header_login_google,Log in with Google to save your data,登录Google以保存数据,Googleでログインしてデータを保存,سجل الدخول بأستخدام Google لحفظ بياناتك
btn_sign_in_google,Sign in with Google,使用Google登录,Googleでサインイン,سجل الدخول باستخدام Google
header_song_of_the_day,Song of the Day,每日歌曲,今日の一曲,أغنية اليوم
msg_loading_song_of_the_day,Loading Song of the Day...,加载每日歌曲中...,今日の一曲を読み込み中...,جارٍ تحميل أغنية اليوم...
msg_no_song_of_the_day,The Song of the Day is not available.,没有可用的每日歌曲。,今日の一曲が利用可能ではありません。,أغنية اليوم غير متاحة.
label_completed,Completed,已完成,完了,مكتمل 
label_reward,Reward,奖励,報酬,جائزة
btn_complete,Complete,完成,完了,مكتمل 
label_challenge_prefix,Challenge:,挑战:,チャレンジ:,التحدي:
label_best_score_prefix,Best score:,最佳成绩:,ベストスコア:,أفضل نتيجة:
label_class_prefix,Class:,段位:,クラス:,الفئة:
label_class_none,Class: None,段位：无,クラス：なし,الفئة: لا شيء
label_class_kaidan,Class: Kaidan,段位：皆伝,クラス：皆伝,الفئة: كايدان
label_dan,Dan,段,段,دان
label_tiles,tiles,块,枚,بلاطات
label_tiles_per_sec_full,tiles/sec,块/秒,枚/秒,بلاطات/ثانية
label_lap,Lap,圈,周回,لفة
placeholder_select_song,Select a song...,选择一首歌曲...,曲を選択...,اختر أغنية...
placeholder_leave_empty_original,Leave empty for original,留空以保留原始值,元のままにする場合は空欄,اتركه فارغا للقيمة الأصلية
label_original,Original:,原始:,元の値:,الأصل:
label_beats,beats,拍,拍,نبضات
label_speed,Speed:,速度:,速度:,السرعة:
label_section_1_bpm,Section 1 BPM,第1段 BPM,セクション1 BPM,إيقاع القسم 1
label_section_2_bpm,Section 2 BPM,第2段 BPM,セクション2 BPM,إيقاع القسم 2
label_section_3_bpm,Section 3 BPM,第3段 BPM,セクション3 BPM,إيقاع القسم 3
msg_loading_songs,Loading songs...,正在加载歌曲...,曲を読み込み中...,جارٍ تحميل الأغاني...
msg_song_not_found,Song not found,未找到歌曲,曲が見つかりません,الأغنية غير موجودة
msg_loading_assets,Loading assets...,正在加载资源...,アセットを読み込み中...,جارٍ تحميل الأصول...
msg_loading_graphics,Loading graphics...,正在加载图形...,グラフィックを読み込み中...,جارٍ تحميل الرسومات...
msg_loading_audio_effects,Loading audio effects...,正在加载音效...,効果音を読み込み中...,جارٍ تحميل المؤثرات الصوتية...
msg_loading_piano_keys,Loading piano keys...,正在加载钢琴按键...,ピアノ鍵盤を読み込み中...,جارٍ تحميل مفاتيح البيانو...
msg_caching_song_data,Caching song data...,正在缓存歌曲数据...,曲データをキャッシュ中...,جارٍ تخزين بيانات الأغاني مؤقتا...
msg_loading_song_data,Loading song data...,正在加载歌曲数据...,曲データを読み込み中...,جارٍ تحميل بيانات الأغاني...
msg_loading_sprites,Loading sprites...,正在加载精灵图...,スプライトを読み込み中...,جارٍ تحميل الرسومات المتحركة...
msg_preparing_audio,Preparing audio...,正在准备音频...,音声を準備中...,جارٍ تجهيز الصوت...
msg_ready,Ready!,就绪！,準備完了！,جاهز!
msg_loading_generic,Loading,正在加载,読み込み中,جارٍ التحميل
msg_initialization_complete,Initialization complete!,初始化完成！,初期化が完了しました！,اكتمل التهيئة!
msg_revive_now,Revive now,立即复活,今すぐ復活,الإنعاش الآن
msg_more_points_to_beat_your_best_score,more points to beat your best score,才能超过你的最佳成绩,さらにベストスコアを超えるためのポイント,لتتخطى أفضل نتيجة لديك
msg_no_updates_available,No updates available.,暂无更新。,更新はありません。,لا توجد تحديثات متاحة.
msg_failed_to_load_updates,Failed to load updates.,更新加载失败。,更新の読み込みに失敗しました。,فشل تحميل التحديثات.
msg_loading_database,Loading database...,正在加载数据库...,データベースを読み込み中...,جارٍ تحميل قاعدة البيانات...
msg_fetching_game_csv_configurations,Fetching game CSV configurations,正在获取游戏CSV配置...,ゲームCSV設定を取得中...,جارٍ جلب إعدادات CSV الخاصة باللعبة
msg_no_challenge_scores_yet,No challenge scores yet,暂无挑战成绩。,まだチャレンジ記録がありません。,لا توجد نتائج تحديات بعد.
msg_enter_player_name,Enter your player name:,输入你的玩家名称：,プレイヤー名を入力してください：,أدخل اسم اللاعب:
msg_reloaded_song,Reloaded song,重新载入的歌曲,再読み込みした曲,أغنية معاد تحميلها
